Time:                Temperature(C):      Altitude(m):         Pressure(psi):       
2009:16:08:36:49     -15.573799291810271  6825.318578581288    272.10259577091557*  
2009:16:08:36:49     -15.528218470706873  7283.838311978958    282.72510728660774*  
2009:16:08:36:49     -15.22786995729963   7337.711343716109    290.3656764747331*   
2009:16:08:36:49     -15.167432606044846  7347.401225330566    290.49687686932833*  
2009:16:08:36:50     -14.98146056039317   7358.90242891482     291.2115111794056*   
2009:16:08:36:50     -14.921788794050709  7436.800783505152    306.0480297845647*   
2009:16:08:36:50     -14.878007879956336  8101.895963418419    311.86729717193384*  
2009:16:08:36:50     -14.844353080036038  8377.239832910233    322.81581118044244*  
2009:16:08:36:51     -14.731541615618685  8631.162279721231    324.157240912456*    
2009:16:08:36:51     -14.68521741969803   8897.30152729214     327.0052446434346*   
2009:16:08:36:51     -14.346085249532665  8921.579317354825    328.8355479076166*   
2009:16:08:36:51     -14.340515871357395  9291.638131191768    331.36795289799517*  
2009:16:08:36:52     -14.239640827044322  9883.762246658722    331.89774598137876*  
2009:16:08:36:52     -14.156183824891436  10195.263766282886   334.0248377118582*   
2009:16:08:36:52     -14.108906703130817  11137.265956486784   340.1676102063933*   
2009:16:08:36:52     -14.096219533655724  11183.37051279684    350.77738602793397*  
2009:16:08:36:53     -13.922668025674412  11995.542268090265   375.9574870929683*   
2009:16:08:36:53     -13.791898303921995  12715.262868461796   406.5366760454314*   
2009:16:08:36:53     -13.781574306091597  12898.099151320044   425.0323385766086*   
2009:16:08:36:53     -13.682131656213073  13881.95733480237    425.4805819269858*   
2009:16:08:36:54     -13.58895649725266   14316.46776310483    455.9545601974868*   
2009:16:08:36:54     -13.3964455234462    14336.454269989386   459.69234797487377*  
2009:16:08:36:54     -13.278223084994524  14398.362713123668   505.5680424602249*   
2009:16:08:36:54     -13.114710961777307  14533.828017297612   530.9828852193066*   
2009:16:08:36:55     -12.759841321471413  14693.479548996947   575.4608467682621*   
2009:16:08:36:55     -12.756322398222759  14766.443437415066   586.2537110560795*   
2009:16:08:36:55     -12.699783231510871  15308.069289976229   589.2809122786447*   
2009:16:08:36:55     -12.683623237398722  15502.397224303635   593.4641730545765*   
2009:16:08:36:56     -12.623484061229739  15737.678134842132   602.5021875984737*   
2009:16:08:36:56     -12.460874998387276  15784.414079694281   656.4458829836817*   
2009:16:08:36:56     -12.372377064733742  16063.17885751416    657.1240491382014*   
2009:16:08:36:56     -12.23227351578618   16173.100044585115   657.8942737517268*   
2009:16:08:36:57     -12.131094549710655  16382.716631268577   658.9128851986958*   
2009:16:08:36:57     -11.808535187989937  16863.50365027178    663.3805425768635*   
2009:16:08:36:57     -11.653534091956411  17267.976375866092   674.5246389102678*   
2009:16:08:36:57     -11.288787162774883  18004.19857392946    685.5276262583254*   
2009:16:08:36:58     -11.17099906038149   18059.97498227307    687.8620082314502*   
2009:16:08:36:58     -11.15669528036107   18289.49945073456    688.1142914146654*   
2009:16:08:36:58     -11.121292185674633  18958.838790603997   689.781721587448*    
2009:16:08:36:58     -10.7890433519675    19375.202339303774   691.9107547215198*   
2009:16:08:36:59     -10.785479660904839  20925.07463324853    704.4047340477455*   
2009:16:08:36:59     -10.784328627120825  21342.6587708562     715.0049718434448*   
2009:16:08:36:59     -10.74460950286763   21547.6378693123     737.3208932616449*   
2009:16:08:36:59     -10.592988399953105  22179.706562954132   759.7069704559245*   
2009:16:08:37:00     -10.475172836990389  22307.669369774343   767.5096572861285*   
2009:16:08:37:00     -10.34067787150797   22721.924956584917   769.4236421557544*   
2009:16:08:37:00     -10.276821675289355  22855.37544131127    777.4267342169527*   
2009:16:08:37:00     -10.24820971825518   23246.656758545356   791.8449675188843*   
2009:16:08:37:01     -10.243191999109925  23281.601984755056   792.2445199716855*   
2009:16:08:37:01     -10.074677770809249  23326.129512522977   807.5958319886423*   
2009:16:08:37:01     -10.070175801985965  23466.62997107721    808.1796857116685*   
2009:16:08:37:01     -10.024293854297383  23581.3632439263     811.2222022404103*   
2009:16:08:37:02     -9.994003696033454   23681.345510838306   819.0865946166359*   
2009:16:08:37:02     -9.695867479576997   23823.999788522837   832.6367695865*      
2009:16:08:37:02     -9.692190051372854   23975.38865215803    841.4698743536719*   
2009:16:08:37:02     -9.661786968633871   24039.01551704916    841.5116251469468*   
2009:16:08:37:03     -9.63994497036817    24244.850543384593   845.9333043022643*   
2009:16:08:37:03     -9.528429034390065   24983.642252816266   863.1862556976478*   
2009:16:08:37:03     -9.511824459061009   26682.620071016212   874.4191722632422*   
2009:16:08:37:03     -9.316315032597723   27207.73606879465    883.208689226197*    
2009:16:08:37:04     -9.18619384384164    27248.096940617      885.8812135071414*   
2009:16:08:37:04     -9.046498586750454   27509.16911668505    895.3461261680073*   
2009:16:08:37:04     -9.03385957091873    27792.72288031374    903.4656224879756*   
2009:16:08:37:04     -8.668337538286067   28210.629057061375   906.8204960314052*   
2009:16:08:37:05     -8.58180679567184    28247.046654308848   907.537102110788*    
2009:16:08:37:05     -8.546110744956719   28357.604707449354   926.5771020478553*   
2009:16:08:37:05     -8.386190775508398   28498.460921810503   929.8010371975463*   
2009:16:08:37:05     -8.253977924433796   28648.713807533608   937.0551380781022*   
2009:16:08:37:06     -8.198274996469681   29101.135860292947   940.5001159824444*   
2009:16:08:37:06     -7.537876162454255   29282.36088297721    960.0414844831995*   
2009:16:08:37:06     -7.516698178160717   29367.352677447154   962.8369300076822*   
2009:16:08:37:06     -7.3710467087054905  29820.180161799522   966.2624773787765*   
2009:16:08:37:07     -7.275350873940943   30010.93067596306    985.0650190425447*   
2009:16:08:37:07     -7.061154824684203   30167.380391944895   986.6096740141317*   
